Fund,Oper Unit,Dept,Agency,Agency Name,Account,Character Class,Class Description,Descr,Sum Transaction Amt,Ledger,Operating or Non,Year
399,3001,3990506,399,Utilities,53010016,53,Materials and Supplies,NON-CAPITAL FURNITURE & FIXTUR,"1,243.00",ACTUALS,,"2,015"
001,0001,3300902,330,Public Works,51010001,51,Personnel Services,SALARIES AND WAGES,"197,915.15",ACTUALS,,"2,015"
001,0001,2800504,280,Finance,51130004,51,Personnel Services,CAR ALLOWANCE,465.27,ACTUALS,,"2,015"
001,0001,5500101,550,Parks,51510010,51,Personnel Services,TRAVEL & MEETINGS,"1,412.55",ACTUALS,,"2,015"
001,0001,3300801,330,Public Works,52044001,52,Professional Services,NON-CAPITAL LAND,"4,500.00",ACTUALS,,"2,015"
001,0001,5500110,550,Parks,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT,62.42,ACTUALS,,"2,015"
399,3001,3990502,399,Utilities,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,"60,903.20",ACTUALS,,"2,015"
001,0001,4200847,420,Police,52340019,52,Professional Services,BUILDING MAINTENANCE,480.00,ACTUALS,,"2,015"
001,0001,1900202,190,City Clerk,52049001,52,Professional Services,EMPLOYEE TRAINING,"3,201.14",ACTUALS,,"2,015"
001,0001,5500311,550,Parks,52070004,52,Professional Services,"WATER, SEWER & REFUSE","34,005.15",ACTUALS,,"2,015"
001,0001,5800110,580,Development Services,51010016,51,Personnel Services,VACATION,"11,382.77",ACTUALS,,"2,015"
001,0001,0700110,070,Municipal Counselor,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"9,243.20",ACTUALS,,"2,015"
511,0800,5112101,511,Airport,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,"5,304.93",ACTUALS,,"2,015"
001,0003,1000301,100,Municipal Court,51010007,51,Personnel Services,OVERTIME WAGES,0.00,ACTUALS,,"2,015"
399,3501,3990202,399,Utilities,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,"100,699.57",ACTUALS,,"2,015"
001,0001,3500101,350,General Services,51010013,51,Personnel Services,SICK LEAVE,"7,112.63",ACTUALS,,"2,015"
001,0001,3300101,330,Public Works,51010016,51,Personnel Services,VACATION,"11,798.97",ACTUALS,,"2,015"
001,0001,4500302,450,Fire,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"11,672.21",ACTUALS,,"2,015"
001,0001,4200105,420,Police,53890021,53,Materials and Supplies,PHOTOGRAPHIC SUPPLIES,101.97,ACTUALS,,"2,015"
001,0001,4200110,420,Police,51070002,51,Personnel Services,HMO ADMIN,270.60,ACTUALS,,"2,015"
001,0001,0400204,040,City Manager,52050004,52,Professional Services,PAYMENTS TO COTPA,"94,000.00",ACTUALS,,"2,015"
039,0175,3303900,330,Public Works,53040024,53,Materials and Supplies,ITC CCTV SURVEILLANCE SUPPLIES,"47,461.92",ACTUALS,,"2,015"
001,0001,1900110,190,City Clerk,51130004,51,Personnel Services,CAR ALLOWANCE,245.71,ACTUALS,,"2,015"
001,0001,5800401,580,Development Services,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"33,785.73",ACTUALS,,"2,015"
250,0460,2501502,250,Information Technology,52049001,52,Professional Services,EMPLOYEE TRAINING,"2,744.00",ACTUALS,,"2,015"
716,1780,0400406,040,City Manager,52290016,52,Professional Services,CHARGEBACK-COLOR COPIES,127.65,ACTUALS,,"2,015"
001,0001,2800601,280,Finance,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,"8,194.58",ACTUALS,,"2,015"
350,0455,3500315,350,General Services,51010001,51,Personnel Services,SALARIES AND WAGES,"275,711.76",ACTUALS,,"2,015"
250,0460,2500110,250,Information Technology,53890022,53,Materials and Supplies,OTHER SUPPLIES,451.31,ACTUALS,,"2,015"
001,0001,4200841,420,Police,52280020,52,Professional Services,CHGBCK-NON-TAR REP LBR & PARTS,575.36,ACTUALS,,"2,015"
330,0075,3300602,330,Public Works,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"59,247.91",ACTUALS,,"2,015"
001,0001,1000101,100,Municipal Court,51010001,51,Personnel Services,SALARIES AND WAGES,"161,800.80",ACTUALS,,"2,015"
001,0001,5500410,550,Parks,51510004,51,Personnel Services,EMPLOYEE PARKING,560.00,ACTUALS,,"2,015"
399,3501,3990604,399,Utilities,51070002,51,Personnel Services,HMO ADMIN,204.07,ACTUALS,,"2,015"
043,0450,0400303,040,City Manager,53890022,53,Materials and Supplies,OTHER SUPPLIES,"62,912.78",ACTUALS,,"2,015"
001,0001,5500515,550,Parks,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,964.90,ACTUALS,,"2,015"
750,1602,5807000,580,Development Services,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,546.00,ACTUALS,,"2,015"
001,0001,2800501,280,Finance,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"7,140.33",ACTUALS,,"2,015"
020,0100,4200623,420,Police,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"28,872.69",ACTUALS,,"2,015"
001,0001,0700402,070,Municipal Counselor,51010016,51,Personnel Services,VACATION,"13,321.00",ACTUALS,,"2,015"
001,0001,4200731,420,Police,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"1,425,713.83",ACTUALS,,"2,015"
001,0001,3100110,310,City Auditor,52290010,52,Professional Services,CHARGEBACK-POSTAGE,23.28,ACTUALS,,"2,015"
399,3001,3990110,399,Utilities,52290010,52,Professional Services,CHARGEBACK-POSTAGE,"13,757.22",ACTUALS,,"2,015"
001,0001,4200732,420,Police,52340019,52,Professional Services,BUILDING MAINTENANCE,"23,579.41",ACTUALS,,"2,015"
001,0001,2400207,240,Planning,53010001,53,Materials and Supplies,OFFICE SUPPLIES,345.00,ACTUALS,,"2,015"
001,0001,4200106,420,Police,53890021,53,Materials and Supplies,PHOTOGRAPHIC SUPPLIES,"1,579.02",ACTUALS,,"2,015"
001,0001,5500208,550,Parks,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"6,321.32",ACTUALS,,"2,015"
511,0800,5112503,511,Airport,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,"1,155.00",ACTUALS,,"2,015"
019,6970,4209006,420,Police,52550463,52,Professional Services,ECONOMIC DEVELOPMENT,"-2,660.68",ACTUALS,,"2,015"
399,3001,3990302,399,Utilities,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"16,742.10",ACTUALS,,"2,015"
001,0001,5500517,550,Parks,52070004,52,Professional Services,"WATER, SEWER & REFUSE","12,429.41",ACTUALS,,"2,015"
020,0100,4200623,420,Police,52280019,52,Professional Services,CHARGEBACK-VEHICLE MAINTENANCE,"17,360.00",ACTUALS,,"2,015"
250,0460,2501401,250,Information Technology,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,575.00,ACTUALS,,"2,015"
039,0175,3303900,330,Public Works,52044002,52,Professional Services,NON-CAPITAL A&E,"13,880.00",ACTUALS,,"2,015"
001,0001,5800110,580,Development Services,52280007,52,Professional Services,CHARGEBACK-RISK MANAGEMENT,"302,293.00",ACTUALS,,"2,015"
001,0001,1900203,190,City Clerk,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"9,542.50",ACTUALS,,"2,015"
003,2147,3305205,330,Public Works,52044025,52,Professional Services,NON-CAPITAL ADMIN COST,"1,028.93",ACTUALS,,"2,015"
001,0001,2800601,280,Finance,52130004,52,Professional Services,SUBSCRIPTIONS,790.00,ACTUALS,,"2,015"
019,6140,2408070,240,Planning,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"7,556.20",ACTUALS,,"2,015"
001,0001,4200846,420,Police,52340019,52,Professional Services,BUILDING MAINTENANCE,"3,750.00",ACTUALS,,"2,015"
019,6998,2409050,240,Planning,51070002,51,Personnel Services,HMO ADMIN,5.34,ACTUALS,,"2,015"
001,0001,5500414,550,Parks,51070003,51,Personnel Services,INDEMNITY ADMIN,193.79,ACTUALS,,"2,015"
001,0001,5500517,550,Parks,52070001,52,Professional Services,ELECTRICITY,"32,831.58",ACTUALS,,"2,015"
001,0001,0700110,070,Municipal Counselor,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"37,051.59",ACTUALS,,"2,015"
001,0001,2400101,240,Planning,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"16,495.84",ACTUALS,,"2,015"
001,0001,4500110,450,Fire,51130001,51,Personnel Services,UNIFORM ALLOWANCE,"5,482.30",ACTUALS,,"2,015"
399,3001,3990101,399,Utilities,51130010,51,Personnel Services,MILEAGE REIMBURSEMENT,45.21,ACTUALS,,"2,015"
001,0001,2400507,240,Planning,51010013,51,Personnel Services,SICK LEAVE,"13,723.86",ACTUALS,,"2,015"
750,1672,3305002,330,Public Works,52044002,52,Professional Services,NON-CAPITAL A&E,"15,680.00",ACTUALS,,"2,015"
003,2147,3305002,330,Public Works,54040001,54,Capital Purchase,ARCHITECT & ENGINEERING,"26,644.22",ACTUALS,,"2,015"
001,0001,4200101,420,Police,51070003,51,Personnel Services,INDEMNITY ADMIN,"1,937.62",ACTUALS,,"2,015"
250,0460,2501602,250,Information Technology,53890002,53,Materials and Supplies,PURCHASE_DISCOUNT,-65.80,ACTUALS,,"2,015"
399,3001,3990502,399,Utilities,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"9,261.76",ACTUALS,,"2,015"
330,0075,3300602,330,Public Works,52044004,52,Professional Services,NON-CAPITAL TESTING,300.50,ACTUALS,,"2,015"
019,6160,4209099,420,Police,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,"108,700.00",ACTUALS,,"2,015"
399,3501,3990604,399,Utilities,53040014,53,Materials and Supplies,MAINTENANCE SUPPLIES,227.69,ACTUALS,,"2,015"
003,2070,3305413,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,10.16,ACTUALS,,"2,015"
700,1750,0400402,040,City Manager,51010013,51,Personnel Services,SICK LEAVE,"33,030.17",ACTUALS,,"2,015"
399,3501,3990101,399,Utilities,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"10,197.95",ACTUALS,,"2,015"
001,0001,5500309,550,Parks,51070002,51,Personnel Services,HMO ADMIN,44.56,ACTUALS,,"2,015"
750,1626,4207000,420,Police,54165004,54,Capital Purchase,VEHICLES,"27,587.50",ACTUALS,,"2,015"
399,3501,3990202,399,Utilities,51010013,51,Personnel Services,SICK LEAVE,"56,295.92",ACTUALS,,"2,015"
019,6140,2408025,240,Planning,52550199,52,Professional Services,TENANT BASED RENTA,"51,230.00",ACTUALS,,"2,015"
001,0001,4200101,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"25,742.15",ACTUALS,,"2,015"
001,0001,4200841,420,Police,53100001,53,Materials and Supplies,EDUCATIONAL & TRAINING,"11,587.50",ACTUALS,,"2,015"
250,0460,2500110,250,Information Technology,51010001,51,Personnel Services,SALARIES AND WAGES,"245,548.37",ACTUALS,,"2,015"
350,0455,3500314,350,General Services,51010016,51,Personnel Services,VACATION,"2,425.36",ACTUALS,,"2,015"
250,0460,2501602,250,Information Technology,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"92,168.41",ACTUALS,,"2,015"
001,0001,9800001,980,Non Departmental,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,"221,587.52",ACTUALS,,"2,015"
001,0001,5500410,550,Parks,53130013,53,Materials and Supplies,CHEMICALS,"2,849.74",ACTUALS,,"2,015"
511,0800,5112301,511,Airport,53010001,53,Materials and Supplies,OFFICE SUPPLIES,"4,257.67",ACTUALS,,"2,015"
001,0001,3300501,330,Public Works,51010013,51,Personnel Services,SICK LEAVE,"13,900.83",ACTUALS,,"2,015"
001,0003,1000401,100,Municipal Court,51010016,51,Personnel Services,VACATION,"2,353.32",ACTUALS,,"2,015"
250,0460,2501204,250,Information Technology,51070002,51,Personnel Services,HMO ADMIN,25.45,ACTUALS,,"2,015"
250,0460,2500101,250,Information Technology,51010013,51,Personnel Services,SICK LEAVE,"8,648.04",ACTUALS,,"2,015"
001,0001,4500402,450,Fire,52340019,52,Professional Services,BUILDING MAINTENANCE,"142,538.58",ACTUALS,,"2,015"
001,0001,3500211,350,General Services,51010001,51,Personnel Services,SALARIES AND WAGES,"257,479.37",ACTUALS,,"2,015"
001,0001,4500402,450,Fire,51130001,51,Personnel Services,UNIFORM ALLOWANCE,107.85,ACTUALS,,"2,015"
001,0001,4200843,420,Police,51010016,51,Personnel Services,VACATION,"249,858.16",ACTUALS,,"2,015"
001,0001,1600101,160,Personnel,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"10,053.52",ACTUALS,,"2,015"
001,0001,3300302,330,Public Works,52070007,52,Professional Services,NATURAL GAS,"3,918.05",ACTUALS,,"2,015"
019,6970,9808000,980,Non Departmental,52070013,52,Professional Services,LANDFILL,0.00,ACTUALS,,"2,015"
019,6140,2408010,240,Planning,52220004,52,Professional Services,REFUNDS TO FUNDING,"1,807.06",ACTUALS,,"2,015"
001,0001,2400110,240,Planning,52280013,52,Professional Services,CHARGEBACK-PRINT SHOP,"9,521.00",ACTUALS,,"2,015"
750,1609,5507000,550,Parks,52340019,52,Professional Services,BUILDING MAINTENANCE,195.00,ACTUALS,,"2,015"
399,3501,3990202,399,Utilities,53010007,53,Materials and Supplies,COMPUTER SUPPLIES,453.90,ACTUALS,,"2,015"
399,3501,3990202,399,Utilities,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,"7,048.28",ACTUALS,,"2,015"
511,0800,5112503,511,Airport,53890022,53,Materials and Supplies,OTHER SUPPLIES,"3,915.47",ACTUALS,,"2,015"
715,1778,0406105,040,City Manager,54040010,54,Capital Purchase,CONSTRUCTION 2ND C,687.60,ACTUALS,,"2,015"
399,3501,3990101,399,Utilities,51010007,51,Personnel Services,OVERTIME WAGES,148.79,ACTUALS,,"2,015"
001,0001,4200847,420,Police,51010013,51,Personnel Services,SICK LEAVE,"17,196.68",ACTUALS,,"2,015"
399,3001,3990505,399,Utilities,52070007,52,Professional Services,NATURAL GAS,"18,728.98",ACTUALS,,"2,015"
001,0001,5500413,550,Parks,51010001,51,Personnel Services,SALARIES AND WAGES,"294,242.55",ACTUALS,,"2,015"
001,0001,3100201,310,City Auditor,52340016,52,Professional Services,MACHINERY AND EQUIPMENT MTCE,"2,098.78",ACTUALS,,"2,015"
001,0001,5500517,550,Parks,53100001,53,Materials and Supplies,EDUCATIONAL & TRAINING,943.21,ACTUALS,,"2,015"
001,0001,5500110,550,Parks,52280007,52,Professional Services,CHARGEBACK-RISK MANAGEMENT,"984,779.00",ACTUALS,,"2,015"
030,0150,4500401,450,Fire,51010007,51,Personnel Services,OVERTIME WAGES,"14,146.07",ACTUALS,,"2,015"
003,2097,3305302,330,Public Works,54040004,54,Capital Purchase,TESTING,432.00,ACTUALS,,"2,015"
019,6140,2408030,240,Planning,52550785,52,Professional Services,TARGETED DPA,0.00,ACTUALS,,"2,015"
001,0001,5500101,550,Parks,52310001,52,Professional Services,PRINTING & BINDING,360.00,ACTUALS,,"2,015"
001,0001,5500101,550,Parks,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER,"3,135.12",ACTUALS,,"2,015"
001,0003,1000602,100,Municipal Court,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"1,910.31",ACTUALS,,"2,015"
001,0001,2400507,240,Planning,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"83,465.09",ACTUALS,,"2,015"
003,2137,3305601,330,Public Works,54040025,54,Capital Purchase,ADMIN PAYMENTS TO PUB WORKS,"22,219.44",ACTUALS,,"2,015"
716,1781,4503800,450,Fire,54165004,54,Capital Purchase,VEHICLES,"1,165,847.25",ACTUALS,,"2,015"
019,6140,2408020,240,Planning,52220004,52,Professional Services,REFUNDS TO FUNDING,"1,468.22",ACTUALS,,"2,015"
250,0460,2501601,250,Information Technology,51010013,51,Personnel Services,SICK LEAVE,"38,605.59",ACTUALS,,"2,015"
001,0001,4200733,420,Police,53010001,53,Materials and Supplies,OFFICE SUPPLIES,784.20,ACTUALS,,"2,015"
003,2147,3305602,330,Public Works,54040023,54,Capital Purchase,UTILITY RELOCATES,"1,500.00",ACTUALS,,"2,015"
350,0455,3500315,350,General Services,51010016,51,Personnel Services,VACATION,"22,148.25",ACTUALS,,"2,015"
001,0001,1900203,190,City Clerk,51130004,51,Personnel Services,CAR ALLOWANCE,498.21,ACTUALS,,"2,015"
399,3001,3990303,399,Utilities,53890022,53,Materials and Supplies,OTHER SUPPLIES,"1,343.99",ACTUALS,,"2,015"
330,0075,3300803,330,Public Works,51010016,51,Personnel Services,VACATION,"49,949.38",ACTUALS,,"2,015"
001,0003,1000603,100,Municipal Court,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"1,857.49",ACTUALS,,"2,015"
043,0450,0400303,040,City Manager,53040031,53,Materials and Supplies,OTHER EQUIPMENT,900.00,ACTUALS,,"2,015"
022,0121,4200733,420,Police,53100007,53,Materials and Supplies,FIRE TRAINING MATERIAL,"24,458.70",ACTUALS,,"2,015"
001,0001,4200732,420,Police,51010007,51,Personnel Services,OVERTIME WAGES,"215,831.67",ACTUALS,,"2,015"
250,0460,2501203,250,Information Technology,51070002,51,Personnel Services,HMO ADMIN,61.38,ACTUALS,,"2,015"
250,0460,2500101,250,Information Technology,51070001,51,Personnel Services,HEALTH AND WELFARE INSURANCE,"36,770.04",ACTUALS,,"2,015"
001,0001,4200733,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"111,468.31",ACTUALS,,"2,015"
001,0001,5800101,580,Development Services,51130004,51,Personnel Services,CAR ALLOWANCE,"3,017.85",ACTUALS,,"2,015"
250,0460,2501204,250,Information Technology,52049001,52,Professional Services,EMPLOYEE TRAINING,"1,129.63",ACTUALS,,"2,015"
250,0460,2501307,250,Information Technology,59010082,59,Transfers,TRANSFER TO MFA INTERNET,"98,000.00",ACTUALS,,"2,015"
001,0001,5800402,580,Development Services,51010028,51,Personnel Services,DISABILITY PAYMENTS,"6,400.00",ACTUALS,,"2,015"
001,0001,1000201,100,Municipal Court,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"20,770.47",ACTUALS,,"2,015"
003,2137,3305502,330,Public Works,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"32,390.96",ACTUALS,,"2,015"
070,0350,4200101,420,Police,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"2,342.18",ACTUALS,,"2,015"
001,0001,3300501,330,Public Works,52049001,52,Professional Services,EMPLOYEE TRAINING,"1,012.63",ACTUALS,,"2,015"
715,1778,0406108,040,City Manager,54040007,54,Capital Purchase,CONSTRUCTION IN PROGRESS,"5,191,743.30",ACTUALS,,"2,015"
019,6999,2409902,240,Planning,52890022,52,Professional Services,OTHER_SERVICE-STREEL_LEVEL-2-C,57.81,ACTUALS,,"2,015"
001,0001,4200621,420,Police,53040031,53,Materials and Supplies,OTHER EQUIPMENT,"27,740.65",ACTUALS,,"2,015"
001,0001,1000101,100,Municipal Court,51070003,51,Personnel Services,INDEMNITY ADMIN,229.00,ACTUALS,,"2,015"
350,0455,3500110,350,General Services,51010001,51,Personnel Services,SALARIES AND WAGES,"78,151.12",ACTUALS,,"2,015"
511,0800,5112303,511,Airport,51010013,51,Personnel Services,SICK LEAVE,"21,270.21",ACTUALS,,"2,015"
030,0150,4500401,450,Fire,51010016,51,Personnel Services,VACATION,"7,688.67",ACTUALS,,"2,015"
001,0001,2800501,280,Finance,52040046,52,Professional Services,PROFESSIONAL SERVICES-OTHER,300.00,ACTUALS,,"2,015"
001,0001,4200621,420,Police,53890021,53,Materials and Supplies,PHOTOGRAPHIC SUPPLIES,"2,444.70",ACTUALS,,"2,015"
399,3001,3990503,399,Utilities,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"53,999.97",ACTUALS,,"2,015"
001,0001,3300501,330,Public Works,51510004,51,Personnel Services,EMPLOYEE PARKING,"5,074.87",ACTUALS,,"2,015"
399,3501,3990202,399,Utilities,51510004,51,Personnel Services,EMPLOYEE PARKING,611.68,ACTUALS,,"2,015"
750,1642,5502032,550,Parks,53040013,53,Materials and Supplies,REPAIR & MAINTENANCE PARTS,"5,669.00",ACTUALS,,"2,015"
399,3501,3990403,399,Utilities,53160004,53,Materials and Supplies,UNIFORMS & EQUIPMENT,"42,753.83",ACTUALS,,"2,015"
250,0460,2500110,250,Information Technology,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,178.19,ACTUALS,,"2,015"
001,0001,3300110,330,Public Works,51010013,51,Personnel Services,SICK LEAVE,"56,992.06",ACTUALS,,"2,015"
001,0001,5800203,580,Development Services,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,"6,703.57",ACTUALS,,"2,015"
511,0800,5112201,511,Airport,51070003,51,Personnel Services,INDEMNITY ADMIN,465.15,ACTUALS,,"2,015"
511,0800,5112303,511,Airport,53040025,53,Materials and Supplies,SMALL TOOLS & MINOR EQUIP,"2,503.85",ACTUALS,,"2,015"
019,6160,4209009,420,Police,51010010,51,Personnel Services,ACCRUED LEAVE PAYOUT,"1,856.75",ACTUALS,,"2,015"
020,0100,4200843,420,Police,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"11,468.26",ACTUALS,,"2,015"
001,0001,0700602,070,Municipal Counselor,51010004,51,Personnel Services,PART TIME & TEMPORARY WAGES,"11,325.10",ACTUALS,,"2,015"
001,0001,0700101,070,Municipal Counselor,51010019,51,Personnel Services,EMPLOYEE INCENTIVE,"5,258.92",ACTUALS,,"2,015"
001,0001,1900202,190,City Clerk,51070003,51,Personnel Services,INDEMNITY ADMIN,32.75,ACTUALS,,"2,015"
399,3001,3990502,399,Utilities,51040001,51,Personnel Services,EMPLOYER'S FICA EXPENSE,"23,746.89",ACTUALS,,"2,015"
001,0001,2800401,280,Finance,52370002,52,Professional Services,EMPLOYEE TRAVEL REIMBURSEMENT,271.27,ACTUALS,,"2,015"
001,0001,4200843,420,Police,52010028,52,Professional Services,MISCELLANEOUS SRVCS CONTRACTS,"1,056.00",ACTUALS,,"2,015"
001,0001,4200108,420,Police,51010001,51,Personnel Services,SALARIES AND WAGES,"679,926.33",ACTUALS,,"2,015"
001,0001,3300110,330,Public Works,52280019,52,Professional Services,CHARGEBACK-VEHICLE MAINTENANCE,"4,086.00",ACTUALS,,"2,015"
001,0001,5800101,580,Development Services,51070004,51,Personnel Services,RETIREMENT PENSION CONTRIB,"15,978.41",ACTUALS,,"2,015"
250,0460,2501308,250,Information Technology,51510004,51,Personnel Services,EMPLOYEE PARKING,"4,996.26",ACTUALS,,"2,015"
001,0001,2400304,240,Planning,52490001,52,Professional Services,BAD DEBT EXPENSE,306.20,ACTUALS,,"2,015"
750,1642,5502030,550,Parks,52890001,52,Professional Services,OTHER SERVICES AND CHARGES,100.00,ACTUALS,,"2,015"
