Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,ORG_NAME,ORG_DESC,FUND,ACCT_CODE
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Engineering Services,2040,,Administration,1000 - Administration,5140,9460
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Employee Parking,1000,,Administration,1000 - Administration,5140,9470
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Computer Services-from IT,218675,,Administration,1000 - Administration,5140,9480
FY19,Expense,Economic Development,Parking,Parking Operating,Capital Outlays,Computer Equipment,10000,,Administration,1000 - Administration,5140,9805
FY19,Expense,Economic Development,Parking,Parking Operating,Capital Outlays,Software,5000,,Administration,1000 - Administration,5140,9840
FY19,Expense,Economic Development,Parking,Parking Operating,Other Financing,Operating Trans Out-Subsidies,140000,,Administration,1000 - Administration,5140,9951
FY19,Expense,Economic Development,Parking,Parking Operating,Other Financing,Operating Transfers-A87 Cost,258040,,Administration,1000 - Administration,5140,9952
FY19,Expense,Economic Development,Parking,Parking Operating,Other Financing,Operating Trans-Capt Projects,6821200,,Administration,1000 - Administration,5140,9953
FY19,Expense,Economic Development,Parking,Parking Operating,Other Financing,Operating Trans-Misc,25000,,Administration,1000 - Administration,5140,9955
FY19,Expense,Economic Development,Parking,Parking Operating,Other Financing,Appropriation Lapse,-130000,,Administration,1000 - Administration,5140,9959
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Full Time Employees,401827,,On Street-Violations,2000 - On Street-Violations,5140,7020
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Regular Hourly Rate,1500,,On Street-Violations,2000 - On Street-Violations,5140,7050
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Time & One-half,5000,,On Street-Violations,2000 - On Street-Violations,5140,7055
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Employers FICA,31265,,On Street-Violations,2000 - On Street-Violations,5140,7105
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Hospitalization Insurance,151200,,On Street-Violations,2000 - On Street-Violations,5140,7110
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Retiree Health Care-OPEB,49601,,On Street-Violations,2000 - On Street-Violations,5140,7115
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Retirement Fund Contribution,91247,,On Street-Violations,2000 - On Street-Violations,5140,7120
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Unemployment Compensation,564,,On Street-Violations,2000 - On Street-Violations,5140,7135
FY19,Expense,Economic Development,Parking,Parking Operating,Supplies,Supplies,15000,,On Street-Violations,2000 - On Street-Violations,5140,7520
FY19,Expense,Economic Development,Parking,Parking Operating,Supplies,Clothing,10000,,On Street-Violations,2000 - On Street-Violations,5140,7670
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Contractual Services,85000,,On Street-Violations,2000 - On Street-Violations,5140,8010
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Contract Employees-Temporary Services,15000,,On Street-Violations,2000 - On Street-Violations,5140,8011
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Telephone,3000,,On Street-Violations,2000 - On Street-Violations,5140,8500
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Printing & Publishing,2000,,On Street-Violations,2000 - On Street-Violations,5140,9000
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Equipment Rentals or Lease,854,,On Street-Violations,2000 - On Street-Violations,5140,9410
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Fleet Management Equipment Charges,20809,,On Street-Violations,2000 - On Street-Violations,5140,9440
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Full Time Employees,177095,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,7020
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Acting Assignment,100,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,7025
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Time & One-half,7500,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,7055
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Employers FICA,14112,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,7105
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Hospitalization Insurance,50400,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,7110
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Retiree Health Care-OPEB,21859,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,7115
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Retirement Fund Contribution,40218,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,7120
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Unemployment Compensation,240,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,7135
FY19,Expense,Economic Development,Parking,Parking Operating,Supplies,Supplies,77500,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,7520
FY19,Expense,Economic Development,Parking,Parking Operating,Supplies,Clothing,5000,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,7670
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Contractual Services,150000,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,8010
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Contract Employees-Temporary Services,25000,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,8011
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Fees,202977,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,8240
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Telephone,3000,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,8500
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Equipment Rentals or Lease,5417,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,9410
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Fleet Management Equipment Charges,23884,,On Street-Meter Operations,2001 - On Street-Meter Operations,5140,9440
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Full Time Employees,231884,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7020
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Acting Assignment,500,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7025
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Temporary Noncontract Employees,25000,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7040
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Regular Hourly Rate,3000,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7050
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Time & One-half,5000,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7055
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Employers FICA,20301,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7105
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Hospitalization Insurance,64800,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7110
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Retiree Health Care-OPEB,28625,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7115
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Retirement Fund Contribution,52650,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7120
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Unemployment Compensation,312,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7135
FY19,Expense,Economic Development,Parking,Parking Operating,Personnel Services,Shift Differential,3500,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7165
FY19,Expense,Economic Development,Parking,Parking Operating,Supplies,Supplies,50000,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7520
FY19,Expense,Economic Development,Parking,Parking Operating,Supplies,Clothing,5000,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,7670
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Contractual Services,5000,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,8010
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Contract Employees-Temporary Services,450000,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,8011
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Fees,180799,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,8240
FY19,Expense,Economic Development,Parking,Parking Operating,Other Services and Charges,Telephone,6000,,Off Street-Facilities Operatio,4001 - Off Street-Facilities Operatio,5140,8500
