Fiscal Year,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY17,Expense,Police,Police,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,601038
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Personal Services,7020,Full Time Employees,1026826
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Personal Services,7055,Time & One-half,1100
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Services and Charges,9410,Equipment Rentals or Lease,182152
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Other Services and Charges,9410,Equipment Rentals or Lease,19025
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Other Services and Charges,9410,Equipment Rentals or Lease,69513
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,1503
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9450,311 Call Center Services,10013
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9430,Buildings Rentals or Lease-Facility Mgmt,22132
FY17,Revenue,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Charges for Services,6310,Street-Expressway Lighting Main,10000
FY17,Revenue,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Charges for Services,6284,Wyoming Sewage Service,71400
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Personal Services,7020,Full Time Employees,679491
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7040,Temporary Noncontract Employees,52000
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Services and Charges,9470,Employee Parking,360
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Personal Services,7040,Temporary Noncontract Employees,93783
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7055,Time & One-half,43660
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Other Services and Charges,9470,Employee Parking,8200
FY17,Expense,Police,Police,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7105,Employers FICA,20164
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7105,Employers FICA,110849
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Other Services and Charges,9480,Computer Services-from IT,227921
FY17,Expense,Community Services,Golf Course,1000,1000 - Administration,5840,Golf Course,Capital Outlays,9740,Land Improvements,20500
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Capital Outlays,9760,Equipment,40000
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Capital Outlays,9760,Equipment,20000
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Personal Services,7105,Employers FICA,3356
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Personal Services,7105,Employers FICA,34986
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Capital Outlays,9760,Equipment,50000
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Capital Outlays,9760,Equipment,5000
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Capital Outlays,9800,Furniture,40000
FY17,Expense,Executive Office,City Commission,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,98345
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,36879
FY17,Expense,Design & Development,Code Compliance,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,295037
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2483,DDA Non Tax Increment,Debt Service,9910,Principal,61999
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2482,DDA School Tax Increment,Debt Service,9930,Paying Agent Fees,4689953
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2020,Major Streets,Other Financing,9959,Appropriation Lapse,-250000
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Other Services and Charges,9200,Electricity,1500
FY17,Revenue,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Taxes,4380,City Income Taxes,82337926
FY17,Revenue,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Licenses & Permits,4780,Mechanical Registrations,5500
FY17,Revenue,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Licenses & Permits,4782,Plumber Registrations,1000
FY17,Expense,Treasury,Treasurer,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9410,Equipment Rentals or Lease,1636
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Charges for Services,6260,Service Fees-General,406000
FY17,Revenue,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Charges for Services,6260,Service Fees-General,7500
FY17,Revenue,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Charges for Services,6261,Administration Services,10000
FY17,Revenue,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Charges for Services,6281,Retail Sewage Service,47953909
FY17,Expense,Human Resources,Human Resources,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,62769
FY17,Expense,Adminitrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,13546
FY17,Expense,Fiscal Services,Assessor,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8510,Postage,42016
FY17,Expense,Human Resources,Human Resources,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8510,Postage,5000
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8510,Postage,5000
FY17,Expense,Design & Development,Planning,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9000,Printing & Publishing,14000
FY17,Expense,Fiscal Services,Assessor,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,8393
FY17,Expense,Facilities & Fleet Management,Facilities Management,1000,1000 - Administration,6310,Facilities Mgmt-Operating,Personal Services,7120,Retirement Fund Contribution,123587
FY17,Expense,Facilities & Fleet Management,Fleet Management,1000,1000 - Administration,6610,Motor Equipment-Operating,Personal Services,7120,Retirement Fund Contribution,84564
FY17,Expense,Executive Office,City Commission,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,353
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2484,DDA Local Tax Increment,Personal Services,7135,Unemployment Compensation,53
FY17,Expense,Design & Development,Building Inspections,1000,1000 - Administration,2490,Building Inspections,Personal Services,7135,Unemployment Compensation,721
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9150,Memberships,3549
FY17,Expense,Adminitrative Services,Admin Services Support,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9150,Memberships,500
FY17,Expense,District Court,61st District Court,1000,1000 - Administration,7400,61st District Court,Personal Services,7135,Unemployment Compensation,9053
FY17,Expense,Community Services,Parks and Recreation,1000,1000 - Administration,2080,Parks & Recreation,Other Services and Charges,9100,Professional Development,8000
FY17,Expense,Authorities,Brownfield Redevelopment Authority,1000,1000 - Administration,2430,Brownfield Operations,Other Services and Charges,9100,Professional Development,4000
FY17,Expense,Authorities,SmartZone LDFA,1000,1000 - Administration,2500,SmartZone LDFA,Supplies,7520,Supplies,210
FY17,Expense,Fiscal Services,Fiscal Services,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,160752
FY17,Expense,Fire,Fire,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,303418
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8010,Contractual Services,50401
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8400,Insurance Premiums,2109
FY17,Expense,Public Services,Refuse,1000,1000 - Administration,2260,Refuse Collection,Other Services and Charges,8400,Insurance Premiums,351
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Other Services and Charges,8400,Insurance Premiums,796
FY17,Expense,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Other Services and Charges,8450,Claims,247132
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Other Services and Charges,8450,Claims,42364
FY17,Expense,Engineering,Engineering Services,1000,1000 - Administration,6220,Engineering Services,Personal Services,7110,Hospitalization Insurance,170814
FY17,Expense,Fiscal Services,Assessor,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,128866
FY17,Expense,Human Resources,Human Resources,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,32191
FY17,Expense,Enterprise Services,Street Lighting,1000,1000 - Administration,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,84932
FY17,Expense,Design & Development,Economic Development,1000,1000 - Administration,2360,Property Management,Personal Services,7115,Retiree Health Care-OPEB,923
FY17,Expense,Authorities,Downtown Development Authority,1000,1000 - Administration,2484,DDA Local Tax Increment,Personal Services,7115,Retiree Health Care-OPEB,4575
FY17,Expense,Enterprise Services,Environmental Services,1000,1000 - Administration,5900,Sewer Disposal Operations,Personal Services,7115,Retiree Health Care-OPEB,41742
FY17,Expense,Comptroller,Comptroller,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,8500,Telephone,1200
FY17,Expense,Enterprise Services,Parking,1000,1000 - Administration,5140,Parking Operating,Other Services and Charges,9410,Equipment Rentals or Lease,4800
FY17,Expense,Community Services,Cemetery,1000,1000 - Administration,5020,Cemetery Operating,Other Services and Charges,9450,311 Call Center Services,895
FY17,Expense,Fiscal Services,Income Tax,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,16427
FY17,Expense,Fiscal Services,Assessor,1000,1000 - Administration,1010,General Fund Operating,Other Services and Charges,9470,Employee Parking,10959
FY17,Revenue,Enterprise Services,Water,1000,1000 - Administration,5910,Water Operations,Charges for Services,6433,Wholesale Water Sales,3549981
FY17,Expense,Public Services,Streets,1000,1000 - Administration,2030,Local Streets,Other Financing,9952,Operating Transfers-A87 Cost,82788
